Bus_Number,Bus_Name,Area_Name,Latitude,Longitude,TPR,WECC_Load_Weights,CAISO_Load_Weights,NorthernGrid_Load_Weights,WestConnect_Load_Weights
100011,bus_100011,Washington,48.2414,-124.5778,NorthernGrid,0.0002696913225711945,0.0,0.000830505828215994,0.0
100221,bus_100221,Washington,47.1504,-123.13,NorthernGrid,0.002665948776375101,0.0,0.008209704247789927,0.0
100251,bus_100251,Washington,46.7918,-123.0418,NorthernGrid,0.04143267841618123,0.0,0.12759061201961283,0.0
100331,bus_100331,Washington,46.1277,-123.011,NorthernGrid,0.0007725421631662345,0.0,0.0023790189574333675,0.0
100351,bus_100351,Washington,46.1467,-122.9894,NorthernGrid,0.0,0.0,0.0,0.0
100931,bus_100931,Washington,45.6572,-122.7746,NorthernGrid,0.025617189662960674,0.0,0.07888731871225486,0.0
102281,bus_102281,Washington,47.6146,-122.3262,NorthernGrid,0.013648556368109063,0.0,0.042030294124338285,0.0
103441,bus_103441,Washington,47.0349,-122.1843,NorthernGrid,0.004165504251922534,0.0,0.01282753751844173,0.0
105251,bus_105251,Washington,47.8317,-120.8987,NorthernGrid,0.0025584937169297974,0.0,0.007878799818645523,0.0
105581,bus_105581,Washington,47.4908,-120.1183,NorthernGrid,9.091040155588275e-05,0.0,0.0002799556827331205,0.0
105701,bus_105701,Washington,47.1193,-119.7942,NorthernGrid,0.007111259808772286,0.0,0.021898897824509937,0.0
106001,bus_106001,Washington,46.9002,-119.1478,NorthernGrid,0.0,0.0,0.0,0.0
106771,bus_106771,Washington,47.5149,-117.0301,NorthernGrid,0.0017391246911279596,0.0,0.00535557903089308,0.0
107501,bus_107501,Washington,47.9951,-119.6404,NorthernGrid,0.0021807128326624937,0.0,0.006715435631836129,0.0
110161,bus_110161,Washington,47.9575,-118.9773,NorthernGrid,0.028053644860854564,0.0,0.0863903048029692,0.0
130001,bus_130001,Oregon,43.1141,-124.3092,NorthernGrid,0.0021688523766620147,0.0,0.006678911735776785,0.0
131751,bus_131751,Oregon,45.3594,-122.9136,NorthernGrid,0.0019366479585064369,0.0,0.005963845634364485,0.0
133661,bus_133661,Oregon,42.4035,-122.148,NorthernGrid,0.002678791183886421,0.0,0.008249252032215437,0.0
134201,bus_134201,Oregon,44.4751,-118.9902,NorthernGrid,0.0063377147172698585,0.0,0.019516790381245618,0.0
134461,bus_134461,Oregon,45.6648,-117.293,NorthernGrid,0.009955375758546124,0.0,0.03065726220156805,0.0
135041,bus_135041,Oregon,45.7164,-120.6941,NorthernGrid,0.044993582728855806,0.0,0.13855630330400706,0.0
200001,bus_200001,Northern California,40.8174,-124.0936,CAISO,0.0010523261568450926,0.002572487594575418,0.0,0.0
200071,bus_200071,Northern California,41.9152,-124.1341,NorthernGrid,0.002318349244478438,0.0,0.007139282573213721,0.0
200261,bus_200261,Northern California,40.5066,-123.289,CAISO,0.0235557574689785,0.05758375716084626,0.0,0.0
201361,bus_201361,Northern California,38.7621,-121.4451,CAISO,0.023794956737365355,0.05816849711675642,0.0,0.0
204901,bus_204901,Northern California,38.777,-122.745,CAISO,0.002783360903533244,0.006804127550180724,0.0,0.0
211211,bus_211211,Bay Area,37.8201,-122.3716,CAISO,0.03940882749631719,0.09633773634875259,0.0,0.0
211651,bus_211651,Bay Area,37.8828,-122.3102,CAISO,0.01192864696662163,0.029160442456074954,0.0,0.0
216471,bus_216471,Bay Area,38.0392,-121.8945,CAISO,0.012987120430954725,0.031747957589546044,0.0,0.0
230171,bus_230171,Central California,36.6851,-121.6765,CAISO,0.005879299188116043,0.014372373173322378,0.0,0.0
230541,bus_230541,Central California,37.7075,-121.2386,CAISO,0.0027877126143015154,0.006814765622696303,0.0,0.0
230601,bus_230601,Central California,37.5099,-121.1825,CAISO,0.0036211386944977626,0.008852136107459484,0.0,0.0
232301,bus_232301,Central California,36.3171,-119.3499,CAISO,0.02084141437151055,0.05094834864207314,0.0,0.0
232631,bus_232631,Central California,36.3461,-115.9688,NorthernGrid,0.0003423227764650287,0.0,0.0010541720744842876,0.0
233771,bus_233771,Central California,36.8048,-121.7822,CAISO,0.011700958448948277,0.028603841364928467,0.0,0.0
251601,bus_251601,Southwest California,33.9891,-118.4771,CAISO,0.002158149050890343,0.0052757518422849314,0.0,0.0
252891,bus_252891,Southwest California,34.1798,-118.3632,CAISO,0.025621869260339075,0.06263451724858918,0.0,0.0
253751,bus_253751,Southwest California,33.7936,-118.3317,CAISO,0.002504654943142169,0.0061228106210360934,0.0,0.0
253851,bus_253851,Southwest California,33.8546,-118.3986,CAISO,0.008617564408760998,0.0210662610567948,0.0,0.0
254001,bus_254001,Southwest California,34.1059,-118.2942,CAISO,0.005132331121254418,0.01254635557122606,0.0,0.0
254031,bus_254031,Southwest California,33.9512,-118.3527,CAISO,0.003697529216702072,0.009038878278064537,0.0,0.0
254391,bus_254391,Southwest California,33.9804,-118.2791,CAISO,0.0006571699735900146,0.0016064996518342992,0.0,0.0
255951,bus_255951,Southwest California,34.104,-118.0684,CAISO,0.004557161027249046,0.011140310570847526,0.0,0.0
255981,bus_255981,Southwest California,33.9398,-118.2112,CAISO,0.00973174289813476,0.023789951163149067,0.0,0.0
256181,bus_256181,Southwest California,34.1253,-118.2288,CAISO,0.005173638713227069,0.012647334975016617,0.0,0.0
256751,bus_256751,Southwest California,33.9708,-118.1056,CAISO,0.0025836806114492455,0.006315994597363798,0.0,0.0
257141,bus_257141,Southwest California,34.1137,-117.9854,CAISO,0.00532314194107145,0.013012806455960967,0.0,0.0
257301,bus_257301,Southwest California,33.9189,-118.0327,CAISO,0.003322450101240749,0.008121970183333398,0.0,0.0
258301,bus_258301,Southwest California,34.1292,-119.1689,CAISO,0.003484066798928844,0.008517053919658383,0.0,0.0
261001,bus_261001,Southwest California,33.7688,-118.1009,CAISO,0.0317123421851618,0.07752311993349827,0.0,0.0
261161,bus_261161,Southwest California,35.0086,-118.2422,CAISO,0.0,0.0,0.0,0.0
261331,bus_261331,Southwest California,35.2115,-120.8555,CAISO,0.023314414786224147,0.056993777473095794,0.0,0.0
262011,bus_262011,Southwest California,34.5872,-118.6566,CAISO,0.012391493899236314,0.030291905343881737,0.0,0.0
280781,bus_280781,Southeast California,33.6403,-117.9198,CAISO,0.002059063719812443,0.0050335305657878415,0.0,0.0
280991,bus_280991,Southeast California,33.6522,-117.7811,CAISO,0.030978740058289485,0.0757297763408701,0.0,0.0
281221,bus_281221,Southeast California,33.8252,-117.8161,CAISO,0.001294090633316115,0.0031634983876505512,0.0,0.0
283651,bus_283651,Southeast California,33.2272,-117.3108,CAISO,0.003908762553636195,0.00955525348672885,0.0,0.0
284011,bus_284011,Southeast California,34.1138,-117.311,CAISO,0.023859931673586642,0.05832733305968185,0.0,0.0
284741,bus_284741,Southeast California,32.8664,-117.1574,CAISO,0.027931227169423253,0.06827991010888294,0.0,0.0
285491,bus_285491,Southeast California,32.7165,-117.0959,CAISO,0.0037597546354721937,0.009190992826213093,0.0,0.0
286671,bus_286671,Southeast California,33.6512,-116.3366,CAISO,0.004952986897225074,0.012107935611336992,0.0,0.0
300011,bus_300011,Nevada,39.542,-119.9708,NorthernGrid,0.023624123696184066,0.0,0.07274973562042233,0.0
301441,bus_301441,Nevada,36.1694,-115.2868,WestConnect,0.0006493573592797747,0.0,0.0,0.0024393670439680857
301461,bus_301461,Nevada,36.1852,-115.1801,WestConnect,0.003043017316623192,0.0,0.0,0.011431357557305526
301721,bus_301721,Nevada,36.3338,-115.1921,WestConnect,0.003482153619896113,0.0,0.0,0.0130810110350178
301741,bus_301741,Nevada,36.1976,-115.2339,WestConnect,0.0010727930222013682,0.0,0.0,0.0040300397091972235
302051,bus_302051,Nevada,36.2197,-115.0048,WestConnect,0.0007172534674155357,0.0,0.0,0.002694424642427842
302071,bus_302071,Nevada,36.0498,-115.0615,WestConnect,0.00250041162413587,0.0,0.0,0.009393012376169636
302201,bus_302201,Nevada,36.1495,-114.9628,WestConnect,0.01440683411862208,0.0,0.0,0.054120517546548896
302211,bus_302211,Nevada,36.2656,-115.062,WestConnect,0.00047033220216223575,0.0,0.0,0.001766843568145618
303741,bus_303741,Nevada,36.3837,-114.9218,WestConnect,0.0,0.0,0.0,0.0
400011,bus_400011,Arizona,32.5779,-114.7037,WestConnect,0.0017338085226872363,0.0,0.0,0.006513201568216937
400031,bus_400031,Arizona,32.6839,-114.6158,WestConnect,0.002238367536104339,0.0,0.0,0.008408621111058279
400041,bus_400041,Arizona,32.7326,-114.6722,WestConnect,0.03805527396742519,0.0,0.0,0.1429579257687563
400061,bus_400061,Arizona,34.9171,-114.5345,WestConnect,0.0037851319687696,0.0,0.0,0.01421917538892238
400071,bus_400071,Arizona,34.9385,-114.5447,WestConnect,9.832028882064231e-05,0.0,0.0,0.00036934866275868943
400081,bus_400081,Arizona,35.0718,-114.4635,WestConnect,0.01946300278908938,0.0,0.0,0.07311445216086015
400501,bus_400501,Arizona,33.9827,-113.2936,WestConnect,0.00012007890764022518,0.0,0.0,0.00045108679494775726
401601,bus_401601,Arizona,33.6352,-112.1937,WestConnect,0.0008611771225317064,0.0,0.0,0.0032350862921659987
401621,bus_401621,Arizona,33.7222,-112.1435,WestConnect,0.0010574564711491614,0.0,0.0,0.003972426629634406
401681,bus_401681,Arizona,33.5665,-112.1687,WestConnect,0.003431077081225267,0.0,0.0,0.012889137602965199
401691,bus_401691,Arizona,33.511,-112.2157,WestConnect,0.0010341863792810342,0.0,0.0,0.0038850105183021516
402791,bus_402791,Arizona,33.5746,-112.0981,WestConnect,0.0007300901696168872,0.0,0.0,0.0027426468237209604
402811,bus_402811,Arizona,33.5541,-111.9346,WestConnect,0.0024372198801545825,0.0,0.0,0.009155627128253463
403671,bus_403671,Arizona,33.3397,-111.7632,WestConnect,0.003135999087147639,0.0,0.0,0.011780651614677432
403691,bus_403691,Arizona,33.2318,-111.7977,WestConnect,0.012352704083893584,0.0,0.0,0.046404000533021336
403911,bus_403911,Arizona,33.3181,-111.7129,WestConnect,0.0011344746061216352,0.0,0.0,0.004261751910321326
405951,bus_405951,Arizona,34.4207,-110.5607,WestConnect,0.01213578895538748,0.0,0.0,0.045589140104854674
406021,bus_406021,Arizona,37.1737,-110.3363,NorthernGrid,0.0030745913037243705,0.0,0.009468105880385618,0.0
406911,bus_406911,Arizona,35.9839,-109.0016,WestConnect,9.185120730207988e-05,0.0,0.0,0.0003450469989127189
407871,bus_407871,Arizona,36.9047,-111.3886,WestConnect,0.004024172879132925,0.0,0.0,0.01511715322896283
408441,bus_408441,Arizona,33.3881,-112.8617,WestConnect,0.008438931165483995,0.0,0.0,0.031701574298363414
408811,bus_408811,Arizona,34.3186,-109.1639,WestConnect,0.005799745780131503,0.0,0.0,0.02178724629399363
409611,bus_409611,Arizona,32.975,-112.6944,WestConnect,0.0022947074621948085,0.0,0.0,0.00862026691286627
409941,bus_409941,Arizona,33.3417,-112.8897,WestConnect,0.003322005956390695,0.0,0.0,0.012479402495527463
500001,bus_500001,Utah,37.6319,-113.8304,NorthernGrid,0.0,0.0,0.0,0.0
500071,bus_500071,Utah,40.7559,-113.5408,NorthernGrid,0.0004940165747118844,0.0,0.0015213082891282616,0.0
500241,bus_500241,Utah,38.3497,-112.9656,NorthernGrid,0.011126742361070372,0.0,0.03426444830269722,0.0
500991,bus_500991,Utah,40.7083,-111.9178,NorthernGrid,0.036037162100126634,0.0,0.11097529157104737,0.0
501961,bus_501961,Utah,42.0303,-111.8361,NorthernGrid,0.0035439554621884664,0.0,0.010913497839769935,0.0
503161,bus_503161,Utah,41.1071,-110.6322,NorthernGrid,0.0055740300787902935,0.0,0.017165047888645132,0.0
530001,bus_530001,New Mexico,35.5753,-104.8982,WestConnect,0.0010145647987314314,0.0,0.0,0.003811300355078077
530021,bus_530021,New Mexico,36.4001,-105.2867,WestConnect,0.0005232843295741655,0.0,0.0,0.0019657628114108784
530121,bus_530121,New Mexico,33.1937,-105.6064,WestConnect,0.0005291223705364836,0.0,0.0,0.001987693916866601
532171,bus_532171,New Mexico,36.8006,-108.4386,WestConnect,0.002641896588737096,0.0,0.0,0.009924512874212844
600001,bus_600001,Colorado,37.6341,-108.9409,WestConnect,0.02084695538295294,0.0,0.0,0.07831338969446926
600031,bus_600031,Colorado,39.0588,-108.7432,WestConnect,0.0074460165339932044,0.0,0.0,0.027971604667744662
601941,bus_601941,Colorado,40.0354,-105.1487,WestConnect,0.0030771662530372002,0.0,0.0,0.011559640988430856
605141,bus_605141,Colorado,39.6146,-104.7563,WestConnect,0.03011146706226894,0.0,0.0,0.11311632854781009
605771,bus_605771,Colorado,37.2339,-104.4703,WestConnect,0.000935964561881501,0.0,0.0,0.0035160317719477247
606631,bus_606631,Colorado,38.2081,-104.5747,WestConnect,0.015106328908382484,0.0,0.0,0.056748230181486094
700001,bus_700001,Wyoming,43.4846,-111.0349,NorthernGrid,0.001962019018404677,0.0,0.006041975004314618,0.0
700161,bus_700161,Wyoming,44.3983,-109.5888,NorthernGrid,0.0006182712178349396,0.0,0.0019039465005203024,0.0
700631,bus_700631,Wyoming,44.4174,-105.7279,WestConnect,0.012160382881897016,0.0,0.0,0.045681529315436155
701551,bus_701551,Wyoming,41.7378,-108.7875,NorthernGrid,0.0016117641456484277,0.0,0.004963376292232118,0.0
701721,bus_701721,Wyoming,42.1089,-104.8825,WestConnect,0.007421997185101152,0.0,0.0,0.02788137390764389
740011,bus_740011,Idaho,43.5232,-116.9082,NorthernGrid,0.015736914354798723,0.0,0.04846132595291826,0.0
740531,bus_740531,Idaho,48.8429,-116.5247,NorthernGrid,0.0003365488111859996,0.0,0.0010363913325218367,0.0
741041,bus_741041,Idaho,41.9964,-116.136,NorthernGrid,0.0018959796365267518,0.0,0.005838608833618042,0.0
741321,bus_741321,Idaho,46.7133,-114.4186,NorthernGrid,0.0013771426938437867,0.0,0.004240867012769433,0.0
742351,bus_742351,Idaho,48.0844,-116.0531,NorthernGrid,0.004907416554536683,0.0,0.015112232796998722,0.0
770011,bus_770011,Montana,46.3057,-106.5958,NorthernGrid,0.0010052609059975728,0.0,0.0030956689052844114,0.0
771731,bus_771731,Montana,48.9903,-114.9596,NorthernGrid,0.0,0.0,0.0,0.0
772611,bus_772611,Montana,45.8831,-106.614,NorthernGrid,0.010767569795573062,0.0,0.03315838784017692,0.0
800071,bus_800071,El Paso,31.8761,-106.4897,WestConnect,0.010266247660528896,0.0,0.0,0.03856604664661827
